time (s),x (m),z (m),V (m/s),gamma_Deg (deg),theta_deg (deg),q_deg_s (deg/s),alpha_deg (deg),lift (N),drag (N),pitch_moment (N.m),density (kg/m^3), L/D ratio
0.000000,0.000000,1000.000000,86.000000,0.000000,2.000000,0.000000,2.000000,452.015979,133.267055,-193.721134,1.111652,3.391806
0.010000,0.859945,999.999694,85.988980,-0.041019,1.979063,-2.892876,2.020082,432.389253,132.393299,-49.465604,1.111652,3.265945
0.020000,1.719779,999.998768,85.978067,-0.082561,1.944951,-3.577500,2.027513,427.288112,132.150865,-10.298162,1.111652,3.233336
0.030000,2.579504,999.997217,85.967236,-0.124231,1.908261,-3.665429,2.032492,426.362849,132.083610,0.207967,1.111653,3.227977
0.040000,3.439120,999.995040,85.956478,-0.165907,1.871828,-3.596105,2.037736,426.775026,132.072135,2.904360,1.111653,3.231378
0.050000,4.298627,999.992239,85.945791,-0.207547,1.836372,-3.489125,2.043919,427.736299,132.083753,3.479953,1.111653,3.238372
0.060000,5.158025,999.988814,85.935174,-0.249128,1.802038,-3.376810,2.051167,429.018534,132.109091,3.486529,1.111654,3.247457
0.070000,6.017314,999.984766,85.924626,-0.290636,1.768819,-3.267682,2.059455,430.547275,132.145151,3.346978,1.111654,3.258139
0.080000,6.876495,999.980097,85.914145,-0.332058,1.736666,-3.163784,2.068723,432.290769,132.190711,3.176154,1.111654,3.270205
0.090000,7.735568,999.974808,85.903730,-0.373382,1.705524,-3.065410,2.078906,434.229638,132.245062,3.004874,1.111655,3.283523
0.100000,8.594533,999.968902,85.893382,-0.414598,1.675339,-2.972388,2.089937,436.348558,132.307667,2.841055,1.111656,3.297984
0.110000,9.453391,999.962379,85.883098,-0.455696,1.646059,-2.884440,2.101755,438.633945,132.378059,2.686388,1.111656,3.313494
0.120000,10.312141,999.955241,85.872878,-0.496667,1.617635,-2.801269,2.114301,441.073284,132.455814,2.540900,1.111657,3.329965
0.130000,11.170784,999.947492,85.862722,-0.537503,1.590019,-2.722588,2.127522,443.654909,132.540538,2.404185,1.111658,3.347315
0.140000,12.029320,999.939132,85.852628,-0.578196,1.563169,-2.648126,2.141364,446.367909,132.631865,2.275747,1.111659,3.365465
0.150000,12.887749,999.930165,85.842595,-0.618739,1.537043,-2.577627,2.155782,449.202069,132.729454,2.155088,1.111660,3.384344
0.160000,13.746072,999.920593,85.832624,-0.659125,1.511604,-2.510851,2.170729,452.147824,132.832985,2.041732,1.111661,3.403882
0.170000,14.604288,999.910418,85.822713,-0.699349,1.486815,-2.447574,2.186163,455.196217,132.942156,1.935232,1.111662,3.424017
0.180000,15.462398,999.899644,85.812861,-0.739405,1.462641,-2.387582,2.202046,458.338863,133.056686,1.835166,1.111663,3.444689
0.190000,16.320403,999.888272,85.803067,-0.779287,1.439053,-2.330679,2.218339,461.567909,133.176307,1.741137,1.111664,3.465841
0.200000,17.178301,999.876305,85.793332,-0.818991,1.416018,-2.276678,2.235009,464.876006,133.300767,1.652775,1.111666,3.487422
0.210000,18.036094,999.863747,85.783654,-0.858513,1.393510,-2.225404,2.252023,468.256273,133.429830,1.569731,1.111667,3.509382
0.220000,18.893782,999.850599,85.774032,-0.897849,1.371502,-2.176693,2.269350,471.702272,133.563271,1.491678,1.111669,3.531677
0.230000,19.751364,999.836866,85.764466,-0.936995,1.349968,-2.130391,2.286963,475.207978,133.700875,1.418308,1.111670,3.554262
0.240000,20.608842,999.822550,85.754956,-0.975948,1.328886,-2.086354,2.304834,478.767752,133.842441,1.349335,1.111672,3.577100
0.250000,21.466214,999.807655,85.745500,-1.014704,1.308234,-2.044446,2.322938,482.376321,133.987775,1.284487,1.111673,3.600152
0.260000,22.323483,999.792182,85.736097,-1.053263,1.287991,-2.004540,2.341253,486.028752,134.136695,1.223512,1.111675,3.623384
0.270000,23.180647,999.776136,85.726749,-1.091620,1.268137,-1.966517,2.359756,489.720432,134.289026,1.166172,1.111677,3.646764
0.280000,24.037707,999.759519,85.717452,-1.129773,1.248654,-1.930263,2.378428,493.447046,134.444603,1.112242,1.111679,3.670263
0.290000,24.894663,999.742335,85.708208,-1.167722,1.229526,-1.895675,2.397248,497.204563,134.603267,1.061515,1.111680,3.693852
0.300000,25.751515,999.724587,85.699015,-1.205463,1.210736,-1.862653,2.416199,500.989213,134.764865,1.013792,1.111682,3.717506
0.310000,26.608264,999.706278,85.689873,-1.242996,1.192268,-1.831105,2.435264,504.797475,134.929255,0.968890,1.111684,3.741201
0.320000,27.464909,999.687411,85.680782,-1.280320,1.174109,-1.800944,2.454429,508.626057,135.096296,0.926636,1.111686,3.764915
0.330000,28.321451,999.667990,85.671739,-1.317432,1.156245,-1.772087,2.473677,512.471888,135.265859,0.886868,1.111689,3.788627
0.340000,29.177891,999.648018,85.662746,-1.354333,1.138663,-1.744459,2.492996,516.332097,135.437814,0.849431,1.111691,3.812319
0.350000,30.034228,999.627498,85.653802,-1.391021,1.121352,-1.717988,2.512373,520.204007,135.612043,0.814185,1.111693,3.835972
0.360000,30.890462,999.606433,85.644905,-1.427496,1.104300,-1.692605,2.531796,524.085117,135.788428,0.780995,1.111695,3.859571
0.370000,31.746594,999.584827,85.636056,-1.463757,1.087496,-1.668248,2.551253,527.973096,135.966858,0.749734,1.111698,3.883101
0.380000,32.602625,999.562684,85.627254,-1.499804,1.070932,-1.644856,2.570735,531.865770,136.147226,0.720285,1.111700,3.906549
0.390000,33.458553,999.540005,85.618499,-1.535636,1.054596,-1.622375,2.590232,535.761110,136.329431,0.692536,1.111703,3.929901
0.400000,34.314380,999.516795,85.609789,-1.571253,1.038481,-1.600751,2.609735,539.657230,136.513375,0.666384,1.111705,3.953145
0.410000,35.170105,999.493058,85.601124,-1.606656,1.022578,-1.579936,2.629235,543.552369,136.698962,0.641731,1.111708,3.976273
0.420000,36.025729,999.468795,85.592504,-1.641844,1.006880,-1.559883,2.648724,547.444890,136.886104,0.618485,1.111710,3.999273
0.430000,36.881252,999.444011,85.583929,-1.676817,0.991378,-1.540548,2.668196,551.333268,137.074712,0.596560,1.111713,4.022137
0.440000,37.736675,999.418709,85.575398,-1.711576,0.976067,-1.521891,2.687643,555.216086,137.264705,0.575877,1.111716,4.044857
0.450000,38.591997,999.392893,85.566910,-1.746121,0.960938,-1.503874,2.707059,559.092027,137.456001,0.556358,1.111719,4.067425
0.460000,39.447218,999.366565,85.558465,-1.780451,0.945987,-1.486461,2.726439,562.959867,137.648524,0.537933,1.111721,4.089836
0.470000,40.302340,999.339728,85.550062,-1.814569,0.931207,-1.469617,2.745776,566.818470,137.842201,0.520535,1.111724,4.112082
0.480000,41.157362,999.312387,85.541701,-1.848473,0.916593,-1.453312,2.765066,570.666782,138.036959,0.504102,1.111727,4.134159
0.490000,42.012284,999.284544,85.533382,-1.882165,0.902139,-1.437516,2.784304,574.503827,138.232732,0.488575,1.111730,4.156062
0.500000,42.867107,999.256203,85.525104,-1.915645,0.887841,-1.422200,2.803486,578.328700,138.429453,0.473898,1.111733,4.177787
0.510000,43.721830,999.227366,85.516867,-1.948914,0.873694,-1.407338,2.822608,582.140565,138.627059,0.460021,1.111737,4.199329
0.520000,44.576455,999.198038,85.508670,-1.981972,0.859693,-1.392906,2.841665,585.938647,138.825491,0.446894,1.111740,4.220685
0.530000,45.430980,999.168221,85.500512,-2.014820,0.845834,-1.378880,2.860655,589.722233,139.024688,0.434472,1.111743,4.241853
0.540000,46.285408,999.137919,85.492394,-2.047460,0.832114,-1.365240,2.879574,593.490664,139.224597,0.422713,1.111746,4.262829
0.550000,47.139737,999.107134,85.484315,-2.079891,0.818528,-1.351963,2.898419,597.243334,139.425161,0.411575,1.111750,4.283612
0.560000,47.993968,999.075870,85.476275,-2.112114,0.805074,-1.339032,2.917188,600.979685,139.626331,0.401023,1.111753,4.304200
0.570000,48.848101,999.044130,85.468273,-2.144131,0.791747,-1.326427,2.935878,604.699204,139.828055,0.391019,1.111757,4.324591
0.580000,49.702137,999.011918,85.460308,-2.175943,0.778544,-1.314133,2.954487,608.401423,140.030285,0.381531,1.111760,4.344785
0.590000,50.556075,998.979236,85.452381,-2.207549,0.765463,-1.302133,2.973012,612.085912,140.232976,0.372529,1.111764,4.364779
0.600000,51.409916,998.946087,85.444491,-2.238952,0.752500,-1.290412,2.991453,615.752279,140.436083,0.363981,1.111767,4.384573
0.610000,52.263660,998.912475,85.436637,-2.270152,0.739654,-1.278957,3.009806,619.400167,140.639563,0.355863,1.111771,4.404167
0.620000,53.117308,998.878403,85.428820,-2.301150,0.726921,-1.267753,3.028070,623.029251,140.843374,0.348147,1.111775,4.423561
0.630000,53.970859,998.843874,85.421038,-2.331947,0.714298,-1.256789,3.046245,626.639239,141.047477,0.340809,1.111779,4.442754
0.640000,54.824314,998.808891,85.413292,-2.362544,0.701784,-1.246053,3.064328,630.229866,141.251834,0.333827,1.111782,4.461746
0.650000,55.677673,998.773456,85.405581,-2.392942,0.689376,-1.235534,3.082318,633.800894,141.456407,0.327180,1.111786,4.480539
0.660000,56.530936,998.737574,85.397905,-2.423143,0.677073,-1.225221,3.100215,637.352109,141.661161,0.320847,1.111790,4.499131
0.670000,57.384104,998.701246,85.390263,-2.453146,0.664871,-1.215105,3.118018,640.883323,141.866063,0.314810,1.111794,4.517524
0.680000,58.237176,998.664476,85.382656,-2.482954,0.652770,-1.205176,3.135724,644.394367,142.071078,0.309051,1.111798,4.535718
0.690000,59.090154,998.627268,85.375082,-2.512568,0.640767,-1.195427,3.153335,647.885096,142.276175,0.303554,1.111802,4.553715
0.700000,59.943036,998.589623,85.367541,-2.541988,0.628861,-1.185849,3.170848,651.355381,142.481323,0.298303,1.111806,4.571514
0.710000,60.795824,998.551545,85.360033,-2.571215,0.617049,-1.176434,3.188265,654.805113,142.686493,0.293284,1.111810,4.589118
0.720000,61.648518,998.513037,85.352558,-2.600251,0.605332,-1.167176,3.205583,658.234197,142.891657,0.288483,1.111815,4.606526
0.730000,62.501118,998.474102,85.345116,-2.629097,0.593705,-1.158067,3.222803,661.642558,143.096787,0.283887,1.111819,4.623742
0.740000,63.353624,998.434742,85.337706,-2.657754,0.582170,-1.149101,3.239924,665.030130,143.301855,0.279485,1.111823,4.640764
0.750000,64.206036,998.394961,85.330327,-2.686223,0.570723,-1.140272,3.256946,668.396866,143.506838,0.275264,1.111828,4.657596
0.760000,65.058355,998.354761,85.322980,-2.714505,0.559364,-1.131575,3.273869,671.742728,143.711710,0.271214,1.111832,4.674238
0.770000,65.910581,998.314145,85.315664,-2.742601,0.548091,-1.123004,3.290692,675.067691,143.916447,0.267326,1.111836,4.690692
0.780000,66.762714,998.273116,85.308378,-2.770512,0.536903,-1.114555,3.307416,678.371742,144.121026,0.263591,1.111841,4.706959
0.790000,67.614755,998.231677,85.301124,-2.798240,0.525800,-1.106222,3.324040,681.654876,144.325426,0.259998,1.111845,4.723041
0.800000,68.466703,998.189830,85.293899,-2.825786,0.514779,-1.098002,3.340565,684.917100,144.529625,0.256540,1.111850,4.738939
0.810000,69.318558,998.147579,85.286704,-2.853150,0.503839,-1.089889,3.356990,688.158428,144.733602,0.253210,1.111855,4.754656
0.820000,70.170322,998.104926,85.279539,-2.880335,0.492980,-1.081881,3.373315,691.378883,144.937337,0.249999,1.111859,4.770192
0.830000,71.021995,998.061874,85.272404,-2.907340,0.482201,-1.073972,3.389541,694.578496,145.140811,0.246902,1.111864,4.785549
0.840000,71.873575,998.018425,85.265297,-2.934167,0.471501,-1.066161,3.405668,697.757304,145.344006,0.243912,1.111869,4.800730
0.850000,72.725065,997.974583,85.258219,-2.960818,0.460878,-1.058443,3.421695,700.915353,145.546904,0.241023,1.111873,4.815735
0.860000,73.576464,997.930349,85.251170,-2.987292,0.450332,-1.050816,3.437624,704.052693,145.749487,0.238228,1.111878,4.830567
0.870000,74.427771,997.885727,85.244149,-3.013593,0.439861,-1.043276,3.453454,707.169380,145.951739,0.235524,1.111883,4.845227
0.880000,75.278989,997.840719,85.237156,-3.039720,0.429466,-1.035821,3.469185,710.265476,146.153644,0.232904,1.111888,4.859718
0.890000,76.130116,997.795329,85.230191,-3.065674,0.419144,-1.028448,3.484819,713.341047,146.355185,0.230365,1.111893,4.874040
0.900000,76.981153,997.749557,85.223253,-3.091458,0.408896,-1.021155,3.500354,716.396164,146.556349,0.227902,1.111898,4.888196
0.910000,77.832101,997.703408,85.216342,-3.117071,0.398721,-1.013939,3.515792,719.430904,146.757120,0.225510,1.111903,4.902187
0.920000,78.682959,997.656883,85.209458,-3.142515,0.388617,-1.006798,3.531133,722.445344,146.957485,0.223186,1.111908,4.916016
0.930000,79.533727,997.609985,85.202601,-3.167792,0.378585,-0.999730,3.546376,725.439567,147.157430,0.220927,1.111913,4.929684
0.940000,80.384407,997.562718,85.195770,-3.192901,0.368623,-0.992733,3.561524,728.413660,147.356942,0.218728,1.111918,4.943192
0.950000,81.234998,997.515082,85.188966,-3.217845,0.358730,-0.985805,3.576575,731.367711,147.556007,0.216587,1.111924,4.956543
0.960000,82.085500,997.467081,85.182187,-3.242624,0.348906,-0.978944,3.591531,734.301813,147.754615,0.214500,1.111929,4.969739
0.970000,82.935914,997.418717,85.175434,-3.267240,0.339151,-0.972149,3.606391,737.216058,147.952754,0.212465,1.111934,4.982780
0.980000,83.786240,997.369993,85.168706,-3.291693,0.329463,-0.965417,3.621156,740.110545,148.150411,0.210479,1.111939,4.995670
0.990000,84.636478,997.320912,85.162004,-3.315985,0.319842,-0.958749,3.635827,742.985371,148.347576,0.208540,1.111945,5.008409
1.000000,85.486628,997.271474,85.155326,-3.340116,0.310288,-0.952141,3.650404,745.840637,148.544239,0.206645,1.111950,5.021000
1.010000,86.336691,997.221684,85.148674,-3.364089,0.300799,-0.945593,3.664888,748.676445,148.740389,0.204792,1.111956,5.033444
1.020000,87.186667,997.171544,85.142046,-3.387902,0.291376,-0.939103,3.679278,751.492900,148.936016,0.202979,1.111961,5.045743
1.030000,88.036556,997.121055,85.135442,-3.411559,0.282017,-0.932670,3.693576,754.290107,149.131110,0.201203,1.111967,5.057899
1.040000,88.886359,997.070220,85.128862,-3.435060,0.272722,-0.926294,3.707782,757.068172,149.325663,0.199464,1.111972,5.069913
1.050000,89.736075,997.019042,85.122306,-3.458405,0.263491,-0.919972,3.721896,759.827202,149.519666,0.197760,1.111978,5.081788
1.060000,90.585705,996.967523,85.115773,-3.481597,0.254323,-0.913703,3.735920,762.567308,149.713110,0.196088,1.111983,5.093524
1.070000,91.435248,996.915665,85.109264,-3.504635,0.245217,-0.907488,3.749852,765.288597,149.905986,0.194448,1.111989,5.105124
1.080000,92.284707,996.863470,85.102778,-3.527522,0.236173,-0.901324,3.763695,767.991182,150.098288,0.192837,1.111995,5.116589
1.090000,93.134079,996.810941,85.096315,-3.550257,0.227190,-0.895211,3.777447,770.675172,150.290006,0.191255,1.112001,5.127920
1.100000,93.983367,996.758081,85.089875,-3.572843,0.218268,-0.889148,3.791111,773.340680,150.481134,0.189700,1.112006,5.139121
1.110000,94.832569,996.704890,85.083458,-3.595279,0.209407,-0.883134,3.804686,775.987817,150.671664,0.188171,1.112012,5.150191
1.120000,95.681687,996.651373,85.077062,-3.617568,0.200605,-0.877169,3.818174,778.616696,150.861590,0.186667,1.112018,5.161133
1.130000,96.530720,996.597530,85.070689,-3.639710,0.191863,-0.871251,3.831573,781.227430,151.050905,0.185187,1.112024,5.171948
1.140000,97.379669,996.543364,85.064338,-3.661705,0.183180,-0.865379,3.844886,783.820132,151.239602,0.183729,1.112030,5.182638
1.150000,98.228534,996.488877,85.058009,-3.683556,0.174556,-0.859554,3.858112,786.394916,151.427675,0.182294,1.112036,5.193205
1.160000,99.077315,996.434072,85.051701,-3.705262,0.165989,-0.853774,3.871251,788.951894,151.615119,0.180879,1.112042,5.203649
1.170000,99.926012,996.378950,85.045414,-3.726826,0.157480,-0.848038,3.884306,791.491180,151.801927,0.179485,1.112048,5.213973
1.180000,100.774626,996.323514,85.039149,-3.748247,0.149028,-0.842347,3.897276,794.012888,151.988095,0.178110,1.112054,5.224178
1.190000,101.623157,996.267766,85.032905,-3.769528,0.140633,-0.836699,3.910161,796.517131,152.173616,0.176754,1.112060,5.234266
1.200000,102.471605,996.211708,85.026681,-3.790668,0.132294,-0.831095,3.922962,799.004022,152.358486,0.175415,1.112066,5.244237
1.210000,103.319971,996.155343,85.020478,-3.811669,0.124011,-0.825532,3.935680,801.473675,152.542700,0.174094,1.112072,5.254094
1.220000,104.168253,996.098671,85.014296,-3.832531,0.115783,-0.820011,3.948314,803.926202,152.726253,0.172790,1.112078,5.263838
1.230000,105.016454,996.041695,85.008133,-3.853256,0.107611,-0.814532,3.960867,806.361717,152.909141,0.171501,1.112085,5.273470
1.240000,105.864573,995.984418,85.001991,-3.873845,0.099492,-0.809093,3.973338,808.780331,153.091359,0.170229,1.112091,5.282991
1.250000,106.712610,995.926842,84.995869,-3.894299,0.091429,-0.803694,3.985727,811.182157,153.272903,0.168971,1.112097,5.292404
1.260000,107.560565,995.868967,84.989766,-3.914617,0.083418,-0.798336,3.998036,813.567307,153.453769,0.167728,1.112103,5.301710
1.270000,108.408439,995.810798,84.983683,-3.934802,0.075462,-0.793016,4.010264,815.935892,153.633953,0.166498,1.112110,5.310909
1.280000,109.256233,995.752334,84.977619,-3.954855,0.067558,-0.787736,4.022413,818.288024,153.813453,0.165283,1.112116,5.320003
1.290000,110.103945,995.693579,84.971575,-3.974775,0.059707,-0.782494,4.034482,820.623813,153.992263,0.164081,1.112123,5.328994
1.300000,110.951576,995.634535,84.965549,-3.994564,0.051908,-0.777290,4.046472,822.943369,154.170382,0.162891,1.112129,5.337882
1.310000,111.799128,995.575203,84.959543,-4.014224,0.044161,-0.772124,4.058385,825.246803,154.347805,0.161714,1.112135,5.346670
1.320000,112.646599,995.515585,84.953555,-4.033754,0.036465,-0.766995,4.070219,827.534224,154.524529,0.160549,1.112142,5.355358
1.330000,113.493990,995.455684,84.947585,-4.053156,0.028821,-0.761903,4.081977,829.805740,154.700553,0.159396,1.112149,5.363948
1.340000,114.341301,995.395501,84.941634,-4.072430,0.021227,-0.756848,4.093657,832.061461,154.875873,0.158254,1.112155,5.372441
1.350000,115.188533,995.335038,84.935701,-4.091578,0.013684,-0.751828,4.105262,834.301494,155.050486,0.157123,1.112162,5.380838
1.360000,116.035686,995.274297,84.929787,-4.110600,0.006191,-0.746845,4.116791,836.525946,155.224390,0.156003,1.112168,5.389140
1.370000,116.882759,995.213280,84.923890,-4.129497,-0.001253,-0.741897,4.128244,838.734925,155.397583,0.154894,1.112175,5.397349
1.380000,117.729754,995.151988,84.918011,-4.148270,-0.008648,-0.736984,4.139623,840.928536,155.570063,0.153795,1.112182,5.405465
1.390000,118.576670,995.090425,84.912149,-4.166920,-0.015993,-0.732106,4.150927,843.106886,155.741826,0.152707,1.112188,5.413490
1.400000,119.423508,995.028591,84.906305,-4.185448,-0.023290,-0.727262,4.162158,845.270080,155.912873,0.151628,1.112195,5.421426
1.410000,120.270268,994.966488,84.900479,-4.203854,-0.030538,-0.722453,4.173316,847.418222,156.083199,0.150558,1.112202,5.429272
1.420000,121.116949,994.904118,84.894669,-4.222140,-0.037739,-0.717677,4.184401,849.551416,156.252805,0.149499,1.112209,5.437031
1.430000,121.963553,994.841483,84.888876,-4.240305,-0.044892,-0.712935,4.195413,851.669766,156.421688,0.148448,1.112216,5.444704
1.440000,122.810080,994.778585,84.883101,-4.258352,-0.051998,-0.708226,4.206354,853.773375,156.589847,0.147407,1.112222,5.452291
1.450000,123.656529,994.715426,84.877342,-4.276280,-0.059057,-0.703551,4.217223,855.862344,156.757280,0.146374,1.112229,5.459793
1.460000,124.502901,994.652007,84.871599,-4.294091,-0.066069,-0.698908,4.228022,857.936776,156.923986,0.145350,1.112236,5.467212
1.470000,125.349196,994.588330,84.865873,-4.311785,-0.073035,-0.694297,4.238750,859.996771,157.089964,0.144335,1.112243,5.474549
1.480000,126.195414,994.524397,84.860164,-4.329364,-0.079955,-0.689719,4.249409,862.042430,157.255213,0.143328,1.112250,5.481805
1.490000,127.041556,994.460209,84.854470,-4.346827,-0.086829,-0.685173,4.259998,864.073853,157.419731,0.142329,1.112257,5.488981
1.500000,127.887622,994.395769,84.848792,-4.364176,-0.093658,-0.680658,4.270518,866.091138,157.583519,0.141339,1.112264,5.496077
1.510000,128.733612,994.331077,84.843131,-4.381412,-0.100443,-0.676175,4.280969,868.094385,157.746574,0.140356,1.112271,5.503095
1.520000,129.579526,994.266136,84.837485,-4.398535,-0.107182,-0.671723,4.291352,870.083691,157.908898,0.139381,1.112278,5.510036
1.530000,130.425364,994.200948,84.831855,-4.415546,-0.113877,-0.667301,4.301668,872.059154,158.070487,0.138414,1.112286,5.516901
1.540000,131.271127,994.135514,84.826240,-4.432445,-0.120528,-0.662911,4.311917,874.020870,158.231343,0.137455,1.112293,5.523690
1.550000,132.116815,994.069835,84.820641,-4.449235,-0.127135,-0.658551,4.322099,875.968936,158.391465,0.136503,1.112300,5.530405
1.560000,132.962428,994.003914,84.815057,-4.465914,-0.133699,-0.654221,4.332215,877.903446,158.550853,0.135559,1.112307,5.537047
1.570000,133.807966,993.937751,84.809488,-4.482485,-0.140220,-0.649921,4.342265,879.824495,158.709505,0.134621,1.112314,5.543616
1.580000,134.653430,993.871350,84.803934,-4.498948,-0.146698,-0.645650,4.352250,881.732179,158.867422,0.133691,1.112322,5.550113
1.590000,135.498819,993.804710,84.798395,-4.515303,-0.153133,-0.641410,4.362170,883.626590,159.024605,0.132768,1.112329,5.556540
1.600000,136.344134,993.737834,84.792870,-4.531551,-0.159526,-0.637198,4.372025,885.507821,159.181052,0.131852,1.112336,5.562897
1.610000,137.189375,993.670724,84.787360,-4.547693,-0.165877,-0.633016,4.381816,887.375965,159.336763,0.130943,1.112344,5.569185
1.620000,138.034542,993.603381,84.781865,-4.563731,-0.172187,-0.628862,4.391544,889.231113,159.491740,0.130041,1.112351,5.575405
1.630000,138.879636,993.535806,84.776384,-4.579663,-0.178454,-0.624737,4.401209,891.073356,159.645982,0.129145,1.112358,5.581558
1.640000,139.724657,993.468002,84.770918,-4.595492,-0.184681,-0.620640,4.410811,892.902785,159.799489,0.128256,1.112366,5.587645
1.650000,140.569604,993.399969,84.765465,-4.611218,-0.190867,-0.616572,4.420350,894.719490,159.952261,0.127374,1.112373,5.593666
1.660000,141.414479,993.331710,84.760027,-4.626841,-0.197013,-0.612531,4.429828,896.523560,160.104300,0.126498,1.112381,5.599622
1.670000,142.259280,993.263225,84.754602,-4.642362,-0.203118,-0.608519,4.439244,898.315084,160.255605,0.125629,1.112388,5.605514
1.680000,143.104010,993.194516,84.749192,-4.657783,-0.209183,-0.604533,4.448599,900.094149,160.406177,0.124766,1.112396,5.611343
1.690000,143.948667,993.125586,84.743795,-4.673103,-0.215209,-0.600576,4.457894,901.860843,160.556016,0.123909,1.112403,5.617110
1.700000,144.793251,993.056434,84.738412,-4.688323,-0.221195,-0.596645,4.467128,903.615253,160.705123,0.123058,1.112411,5.622815
1.710000,145.637764,992.987064,84.733042,-4.703445,-0.227142,-0.592741,4.476303,905.357465,160.853499,0.122214,1.112418,5.628460
1.720000,146.482206,992.917475,84.727685,-4.718468,-0.233050,-0.588865,4.485418,907.087565,161.001145,0.121375,1.112426,5.634044
1.730000,147.326575,992.847671,84.722342,-4.733393,-0.238919,-0.585014,4.494474,908.805637,161.148060,0.120543,1.112433,5.639569
1.740000,148.170873,992.777651,84.717012,-4.748222,-0.244750,-0.581191,4.503472,910.511767,161.294247,0.119717,1.112441,5.645036
1.750000,149.015101,992.707418,84.711695,-4.762954,-0.250543,-0.577393,4.512411,912.206038,161.439706,0.118896,1.112449,5.650444
1.760000,149.859257,992.636973,84.706391,-4.777591,-0.256298,-0.573621,4.521292,913.888533,161.584438,0.118082,1.112456,5.655795
1.770000,150.703342,992.566318,84.701100,-4.792132,-0.262016,-0.569876,4.530116,915.559335,161.728443,0.117273,1.112464,5.661090
1.780000,151.547357,992.495453,84.695821,-4.806579,-0.267696,-0.566155,4.538884,917.218526,161.871724,0.116470,1.112472,5.666330
1.790000,152.391302,992.424381,84.690555,-4.820933,-0.273339,-0.562461,4.547594,918.866188,162.014281,0.115672,1.112480,5.671514
1.800000,153.235176,992.353103,84.685302,-4.835193,-0.278945,-0.558791,4.556248,920.502401,162.156114,0.114881,1.112487,5.676643
1.810000,154.078980,992.281619,84.680061,-4.849361,-0.284515,-0.555147,4.564846,922.127247,162.297227,0.114095,1.112495,5.681719
1.820000,154.922715,992.209932,84.674833,-4.863437,-0.290048,-0.551528,4.573389,923.740804,162.437619,0.113314,1.112503,5.686742
1.830000,155.766380,992.138043,84.669617,-4.877422,-0.295545,-0.547933,4.581877,925.343152,162.577291,0.112539,1.112511,5.691712
1.840000,156.609975,992.065953,84.664413,-4.891317,-0.301007,-0.544363,4.590310,926.934370,162.716246,0.111769,1.112519,5.696631
1.850000,157.453502,991.993664,84.659221,-4.905121,-0.306433,-0.540818,4.598689,928.514537,162.854485,0.111005,1.112527,5.701498
1.860000,158.296959,991.921176,84.654041,-4.918837,-0.311823,-0.537297,4.607013,930.083728,162.992008,0.110246,1.112535,5.706315
1.870000,159.140347,991.848492,84.648873,-4.932463,-0.317179,-0.533799,4.615284,931.642023,163.128818,0.109492,1.112543,5.711082
1.880000,159.983667,991.775612,84.643717,-4.946001,-0.322499,-0.530326,4.623502,933.189497,163.264916,0.108744,1.112551,5.715799
1.890000,160.826918,991.702538,84.638572,-4.959452,-0.327785,-0.526876,4.631667,934.726225,163.400303,0.108001,1.112559,5.720468
1.900000,161.670101,991.629271,84.633439,-4.972816,-0.333037,-0.523450,4.639779,936.252285,163.534981,0.107263,1.112567,5.725089
1.910000,162.513215,991.555813,84.628317,-4.986094,-0.338254,-0.520048,4.647839,937.767750,163.668952,0.106530,1.112575,5.729662
1.920000,163.356262,991.482164,84.623207,-4.999285,-0.343438,-0.516668,4.655847,939.272694,163.802217,0.105802,1.112583,5.734188
1.930000,164.199241,991.408326,84.618109,-5.012392,-0.348588,-0.513312,4.663804,940.767193,163.934777,0.105080,1.112591,5.738668
1.940000,165.042152,991.334301,84.613021,-5.025414,-0.353704,-0.509979,4.671710,942.251319,164.066636,0.104362,1.112599,5.743101
1.950000,165.884996,991.260089,84.607945,-5.038352,-0.358788,-0.506668,4.679565,943.725144,164.197793,0.103649,1.112607,5.747490
1.960000,166.727773,991.185692,84.602880,-5.051207,-0.363838,-0.503380,4.687369,945.188742,164.328252,0.102941,1.112615,5.751833
1.970000,167.570483,991.111110,84.597826,-5.063979,-0.368855,-0.500115,4.695124,946.642183,164.458013,0.102239,1.112623,5.756133
1.980000,168.413126,991.036346,84.592783,-5.076668,-0.373840,-0.496872,4.702828,948.085540,164.587079,0.101541,1.112631,5.760389
1.990000,169.255702,990.961401,84.587750,-5.089276,-0.378793,-0.493650,4.710484,949.518883,164.715451,0.100848,1.112640,5.764601
2.000000,170.098211,990.886275,84.582728,-5.101803,-0.383713,-0.490451,4.718090,950.942282,164.843131,0.100159,1.112648,5.768771
2.010000,170.940654,990.810970,84.577717,-5.114249,-0.388602,-0.487274,4.725647,952.355807,164.970122,0.099476,1.112656,5.772899
2.020000,171.783031,990.735487,84.572717,-5.126615,-0.393459,-0.484118,4.733156,953.759527,165.096425,0.098797,1.112664,5.776985
2.030000,172.625342,990.659827,84.567727,-5.138901,-0.398284,-0.480984,4.740617,955.153511,165.222042,0.098122,1.112672,5.781030
2.040000,173.467588,990.583991,84.562748,-5.151109,-0.403079,-0.477872,4.748030,956.537828,165.346975,0.097453,1.112681,5.785034
2.050000,174.309767,990.507982,84.557779,-5.163238,-0.407842,-0.474780,4.755396,957.912544,165.471226,0.096788,1.112689,5.788998
